No.,구분명,유니크키,품목명[규격],비고,품목코드,단가,전월수량,현재수량,금액
1,신천등기구_조립,S-보안등기구-AB [2구],S-보안등기구-AB [2구],,LHSCD0SE2-AB,"23,461.00",181,161,"3,777,221"
2,신천등기구_조립,S-보안등기구-AB [3구],S-보안등기구-AB [3구],,LHSCD0SE3-AB,"27,896.00",322,270,"7,531,920"
3,신천등기구_조립,S-가로등기구-AB [4구] (70개는 커버 탭가공),S-가로등기구-AB [4구],(70개는 커버 탭가공),LHSCD0ST4-AB,"32,626.00",226,226,"7,373,476"
4,신천등기구_조립,S-가로등기구-AB [5구],S-가로등기구-AB [5구],,LHSCD0ST5-AB,"43,322.00",53,53,"2,296,066"
5,신천등기구_조립,S-가로등기구-AB [6구],S-가로등기구-AB [6구],,LHSCD0ST-AB,"46,498.00",168,238,"11,066,524"
6,신천등기구_조립,S-보안등기구-AB [2구/기와진회색],S-보안등기구-AB [2구/기와진회색],,,"23,461.00",198,198,"4,645,278"
7,신천등기구_조립,S-보안등기구-AB [3구/기와진회색],S-보안등기구-AB [3구/기와진회색],,,"27,896.00",169,169,"4,714,424"
8,신천등기구_조립,S-가로등기구-AB [4구/기와진회색] (1개는 바디 탭가공),S-가로등기구-AB [4구/기와진회색],(1개는 바디 탭가공),LHSCD0ST4DG-AB,"32,626.00",121,121,"3,947,746"
9,신천등기구_조립,S-가로등기구-AB [5구/기와진회색],S-가로등기구-AB [5구/기와진회색],,LHSCD0ST5DG-AB,"43,322.00",1,1,"43,322"
10,신천등기구_조립,S-가로등기구-AB [6구/기와진회색],S-가로등기구-AB [6구/기와진회색],,,"46,498.00",156,156,"7,253,688"
11,신천등기구_조립,S-원형 보안등기구-AB,S-원형 보안등기구-AB,,LHSCD0OSE3-AB,"37,535.00",21,21,"788,235"
12,신천등기구_조립,S-보안등기구-AB [PTX GY1060 그레이 (Cool gray)],S-보안등기구-AB [PTX GY1060 그레이 (Cool gray)],,,"27,896.00",12,12,"334,752"
13,신천등기구_조립,S-보안등기구-AB [PX8583(H)-L/BLACKCOPPER],S-보안등기구-AB [PX8583(H)-L/BLACKCOPPER],,LHSCD0SE-AB/PX8583B,"27,896.00",2,2,"55,792"
14,신천등기구_조립,S-보안등기구-AB [P-BRO0582-S9 / 초코브라운],S-보안등기구-AB [P-BRO0582-S9 / 초코브라운],,LHSCD0SE3-AB/BRO0582,"27,896.00",4,4,"111,584"
15,신천등기구_조립,S-보안등기구-AB [P-GY4381-X0],S-보안등기구-AB [P-GY4381-X0],,LHSCD0SE3-AB/GY4381,"27,896.00",16,16,"446,336"
16,신천등기구_조립,S-보안등기구-AB [P-GY2139-A3 / 도시형(MT-9211-3)],S-보안등기구-AB [P-GY2139-A3 / 도시형(MT-9211-3)],,LHSCD0SE3-AB/MT9211,"27,896.00",4,4,"111,584"
17,신천등기구_조립,S-보안등기구-AB [P-GY3395-T5 / N4.7],S-보안등기구-AB [P-GY3395-T5 / N4.7],,LHSCD0ST-AB/PGY3395,"27,896.00",44,44,"1,227,424"
18,신천등기구_조립,S-보안등기구-AB [H-GY1727-S3/N2.0],S-보안등기구-AB [H-GY1727-S3/N2.0],,LHSCD0SE3-ABGY1727S,"27,896.00",90,90,"2,510,640"
19,신천등기구_조립,S-가로등기구-AB [4구/P-GY1887-H9],S-가로등기구-AB [4구/P-GY1887-H9],,LHSCD0SE3-ABGY1727S,"32,626.00",50,50,"1,631,300"
20,신천등기구_조립,S-가로등기구-AB [P-GY4381-X0],S-가로등기구-AB [P-GY4381-X0],,,"46,498.00",7,7,"325,486"
21,신천등기구_조립,S-가로등기구-AB [GD602],S-가로등기구-AB [GD602],,LHSCD0ST-AB/GD602,"46,498.00",1,1,"46,498"
22,신천등기구_조립,S-가로등기구-AB [PTX GY1060 그레이 (Cool gray)],S-가로등기구-AB [PTX GY1060 그레이 (Cool gray)],,LHSCD0ST-AB/GY1060,"46,498.00",46,46,"2,138,908"
23,신천등기구_조립,S-가로등기구-AB [6구/N7.0],S-가로등기구-AB [6구/N7.0],,LHSCD0ST-AB/N7.0,"46,498.00",4,4,"185,992"
24,신천등기구_조립,S-가로등기구-AB [P-GY3395-T5 / N4.7],S-가로등기구-AB [P-GY3395-T5 / N4.7],,LHSCD0ST-AB/PGY3395,"46,498.00",7,7,"325,486"
25,신천등기구_조립,S-가로등기구-AB [10구],S-가로등기구-AB [10구],,LHSCD0ST10-AB,"56,283.00",12,12,"675,396"
26,신천등기구_조립,S-가로등기구-AB [4구/P-GY2397-S3/노장진회색],S-가로등기구-AB [4구/P-GY2397-S3/노장진회색],,LHSCD0ST4-AB/GY2397,"32,626.00",3,3,"97,878"
27,신천등기구_조립,S-가로등기구-AB [6구/P-GY2397-S3/노장진회색],S-가로등기구-AB [6구/P-GY2397-S3/노장진회색],,,"46,498.00",2,2,"92,996"
